観光地名,市町村,住所１（地番まで),説明,電話番号,営業時間,定休日,料金,ホームページURL
越谷市農産物直売所　グリーン・マルシェ,越谷市,増林2-66,越谷市総合公園の緑と田園風景に囲まれた自然に溢れる環境の中で、安全・安心、そして新鮮な地元農産物を提供しています。最新鋭の精米機による今摺り米コーナーを店内の中心に設置。地元産「コシヒカリ」「彩のかがやき」を中心に販売しており、他にも「山東菜」「ねぎ」「白菜」「分けねぎ」「くわい」「小松菜」などを販売しています。,048-963-3003,９：３０～１７：３０,水曜日,-,http://www2.city.koshigaya.saitama.jp/sisei/siyakusyomado/kankyokeizai/noseika/nosei/chokubaijo/index.html
権現堂公園（あじさい）,幸手市,内国府間地内,権現堂公園で四季折々の花を楽しみたいという思いから、市民ボランティアがあじさいの植栽を始めました。今では、１００種・１５０００株のあじさいが、初夏の権現堂を美しく彩っています。,０４８０－４３－１１１１（幸手市役所・産業振興課）,＊＊＊,＊＊＊,無料,http://www.satte-k.com/
権現堂公園（曼珠沙華）,幸手市,内国府間地内,秋の訪れとともに土手一面に策曼珠沙華。市民ボランティアの方が大切に育ててきました。現在では、約８０万本にまで増えました。緑の中に赤く咲く曼珠沙華は、まさに「癒しの空間」です。桜や紫陽花に続く、権現堂堤の四季の移り変わりを堪能してください。,０４８０－４３－１１１１（幸手市役所・産業振興課）,＊＊＊,＊＊＊,入場無料,http://www.satte-k.com/
隠れ河原のかりん糖,深谷市,＊＊＊,こだわりの小麦粉をおいしい水で練り上げた生地をじっくりと時間をかけて「かりん糖」の生地に自然発酵させました。どの商品も味わい深い「特徴のあるかりん糖」に仕上がっております。噛むほどに古き良き時代と郷愁を覚える隠れ河原のかりん糖をお茶受けに、そしてご進物にご利用頂ければ幸いです。※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設,048-584-7700,8：30～18：00,年始以外無休（1/1～1/3はお休み）,＊＊＊,http://www.asahi-seika.co.jp/
モダン亭　太陽軒,川越市,元町1-1-23,大正１１年創業。川越ならではの細い路地を入ると、色漆喰の外壁とステンドグラスが印象的な洋館が佇んでいます。１階のレストランは、レトロなお部屋とアールデコ調の優美なお部屋。２階お座敷（会席テーブル）は和と洋が融合した大正ロマンの香り。国登録有形文化財の洋館で、懐かしい洋食とお箸で召し上がる西洋会席をお楽しみください。,049-222-0259,11：00～15：00(ラストオーダー14：00)17：00～21：00(ラストオーダー20：00),月曜日(祝日は営業、振替休み有),＊＊＊,http://www.kawagoe.com/taiyoken/
水光山　大應寺,富士見市,富士見市大字水子１７６５,＊＊＊,049-251-5611,＊＊＊,＊＊＊,＊＊＊,http://daiouji.com/
お茶のはなさき　新狭山駅南口店,狭山市,新狭山３－１１－２,お茶のはなさきでは、埼玉県入間市の金子地区（狭山茶の主産地）で製造されるお茶を自社工場にて仕上げ・加工・袋詰めして、直接お客様にお届けしております。産地ならではの美味しいお茶造りをモットーに、季節ごとのお買い得限定品やサービス品など通年商品を含めてお求めやすい価格で提供しております。,04-2955-3458,ＡＭ：１０：００～ＰＭ：７：００,通常は日曜日　新茶時期及び年末は休まずに営業,＊＊＊,＊＊＊
おかき　甘味処  虎笛 （とらぶえ）,川口市,戸塚3-32-12,川口市から「街角スポット賞」を受賞した合掌造りの風情あるお店です。新潟松代から移築した２００年も前からの建物の中では、こだわりぬいた国産米１００％の高級米菓をはじめ、どら焼、最中などの定番和菓子、四季折々の練り切りなども販売しております。甘味処では天草を一時間以上煮込んで作る寒天のあんみつが、ほのかな磯の香りと歯ごたえでご好評頂いております。創業以来、地域の皆様から”時を越えたお店”として親しまれております。,048-294-3535,午前10:00～午後19:00,元旦、11月に臨時休業あり,＊＊＊,＊＊＊
湯郷白寿の湯,神川町,渡瀬337-1,日本各地の温泉場を巡っておられる温泉通の方から絶賛されているのが、彩の国の名湯「湯郷　白寿の湯」です。埼玉県の神流川の流れを汲む、この源泉はナトリウム・塩化物強塩泉（高張性・中性低温泉）で、地下７５０メートルの古世層から湧出する本格天然温泉です。,0274-52-3771,営業時間 10:00～23:00  （最終入館 22:00）,定休日 年中無休,入館料　大人：700円/小学生：400円/小学生以下：無料　平日18時以降　大人：500円/小学生：300円/小学生以下：無料,http://yugo.co.jp/spa/hakujyu/
東日本旅客鉄道(株)　大宮総合車両センター,さいたま市,大宮区錦町1017,明治２７年（１８９４）に当時の日本鉄道（株）の業務部汽車課として大宮に設立。鉄道車両のメンテナンスのほか、ＳＬの復元も行っています。定期検査済みの車両が約３年に１回ここに運ばれて２週間から１か月かけて詳細な検査・修繕を行います。安全な運行はここの技術者のおかげです。見学は企業の研修が中心ですが、毎年５月に開催される「鉄道ふれあいフェア」では一般の方を受け入れています。,048-664-0049,＜受入時間＞10：30～12：00、13：30～15：00,火、土、日、祝、年末年始,無料,＊＊＊
(株)エネルギーアドバンス　さいたま新都心地域冷暖房センター,さいたま市,中央区新都心7-5,さいたま新都心地域に、天然ガスを燃料としたクリーンエネルギーを供給している施設です。国の行政機関を中心に約２７ｈａ内の１０棟に熱や電気を供給しています。都市ガスから電気や蒸気などの複数のエネルギーを発生させる独自のシステムの仕組みや巨大な熱ボイラーや冷凍機を案内してもらうことができます。また実際に冷水が通っているパイプに触れることもできます。,048-601-1515,＜受入時間＞9：30～12：00、13：00～17：30,土、日、祝,無料,http://www.energy-advance.co.jp/
リサイクル・プラザJB　(株)ジャパンビバレッジエコロジー,さいたま市,北区吉野町2-272-5,自動販売機オペレーターである「ジャパン・ビバレッジ」が平成１５年に稼働させた飲料空容器のリサイクル施設です。中間処理施設として首都圏の営業所から回収した空缶やペットボトル、ビンなどを分別し、再利用可能な素材を作っています。ＬＥＤやハイブリッドの照明など最新の環境技術を採用した施設には「環境学習室」が設けられ、環境について総合的に学習できる場となっています。,048-652-6671,＜受入時間＞9：00～17：00,土、日、祝、年末年始,無料（アルミ缶2個持参）,http://www.jbinc.co.jp/
日本電鍍工業(株),さいたま市,北区日進町1-137,メッキ加工業で随一の技術力を持つ老舗企業。創業時は腕時計のメッキ加工を専門とし、今は加工技術が音色を左右してしまう管楽器の厚メッキや自社開発したピンクやブルーの豊富な色での表面処理で幅広い分野に貢献しています。見学では全工程に配置された技術者の加工中の様子や一品一品を丁寧に検査する検査員の姿を見ることができます。,048-665-8135,＜受入時間＞8：30～17：00,会社カレンダーによるので予約時に要確認,無料,http://www.nihondento.com/
(株)第一金属製作所,さいたま市,西区指扇374,安心で安全な精密板金加工を追求する会社です。レーザー加工から量産プレスまで可能な設備で製品造りを行っています。主にコピー機や医療器具に使用される部品を手がけ、身近な製品では駐車場で見かけるロック板を製造しています。２４時間生産可能な最新型複合加工機や、国家資格を持つ技術者が精巧な製品を生み出す現場を見学することができます。,048-624-2873,＜受入時間＞10：30～11：30、13：00～15：30,土、日、祝,無料,http://daiichikinzoku.co.jp
(株)秀飯舎,さいたま市,西区飯田70,大正３年に大宮で唯一の印刷会社として創業。活版印刷時代の職人技をオフセット印刷が主流となった現在も継承しています。「お客様の想いをカタチにする」をキーワードにデザインにも力を入れ、コンクールなどで高い評価を得ています。小中学生を中心に見学を受け入れており、１枚の紙がポスターやパンフレットに生まれ変わるまでを学べます。,048-624-1121,＜受入時間＞10：00～17：00,第2・3土、日、祝,無料,http://shuhansha.co.jp/
望月印刷(株),さいたま市,中央区円阿弥5-8-36,印刷を基盤に半世紀にわたって培ったメディア産業としての技術とノウハウを生かし、コミュニケーションメディアの発展を推進している会社です。印刷だけではなくホームページやウェブブックの企画、制作なども手がけています。印刷物やホームページなどを原稿作りやデザインから製品化まで一貫して制作・生産しています。「印刷工程」の見学を一般の方から社会科見学の児童まで広く受け入れています。,048-840-2111,＜受入時間＞10：00～16：00※県産業観光ガイドブック（ものづくり案内帖）掲載,土、日、祝,無料,http://www.avenue.co.jp
(株)七越製菓,さいたま市,中央区上峰2-3-9,昭和５９年創業以来、米菓一筋、手づくりせんべい・おかきの製造を手がけている会社です。堅揚げの食感で素材の旨みを生かした「手揚げもち」は昔懐かしい味です。一枚一枚焼き上げた「彩の国だるませんべい」は埼玉の特産品の「武州だるま」「草加せんべい」を基に商品化されました。工場見学ではせんべいのできるまでが見学できます。,048-852-3753,＜受入時間＞問い合わせ,日、祝、月2回土曜（店舗は問い合わせ）,無料,http://www.nanakoshi.co.jp
(株)中村製作所,さいたま市,桜区道場709,高い技術力と実績に裏打ちされた金属プレス加工会社です。鉄、非鉄問わず、あらゆる材料の加工に対応しています。高精度、スピード、効率という「作ること」の課題を高度な管理基準と技術で成し遂げています。工場見学では一般の方の見学だけでなく、金属プレス加工の様々な加工技術を見てもらうため技術系の学生・生徒も受け入れています。,048-856-0850,＜受入時間＞10：00～15：00,土、日、祝,無料,http://homepage3.nifty.com/nakamuraseisakusyo/
関東図書(株),さいたま市,南区別所3-1-10,高品質の印刷物を中心としてウェブサイト制作まで手がける会社です。最近では、マタニティーマークのデザインが厚生労働大臣賞を受賞するなど、印刷物以外でも実績を重ねています。見学コースでは、最新の印刷機による製造工程を見学することができます。普段なにげなく手にする印刷物が、どのような工程を踏んで私たちの手元に届くのかがわかります。,048-862-2901,＜受入時間＞予約時相談,土、日、祝,無料,http://www.kanto-t.jp/
木の情報発信基　木の博物館　木力館,さいたま市,岩槻区新方須加558-2,木についての知識を提供する博物館です。ポプラの丸太を大黒柱にした８６坪の天然木建築の館で、木の香りと温もりに包まれています。材木商だった館長の「木」に関する知識は豊富で、木の特徴や木造住宅のための木の選び方まで詳しく説明しています。実物木片が多くあるので、実際に見て、触って、特徴を知ることができます。博物館の中は夏涼しく、冬暖かい木の良いところを体感できます。,048-799-1560,＜受入時間＞10：00～16：00,夏期、年末年始（詳細は問い合わせ）,無料,http://www.wood-power.com
(株)鈴木人形,さいたま市,岩槻区本町3-5-16,多くの人形職人を抱える工房です。この工房では人形の頭や胴、人形の冠などの道具一式を作っており、中でも「頭」は国内最大規模の数を生産しています。数多い製作工程の中で、特に「面相」を描く工程ではこの工房の特色ある技を見ることができます。個人団体を問わず広く見学者を受け入れています。岩槻駅前にあるショールームでは、季節にあった人形を見ることができます。,048-757-0222,＜受入時間＞9：30～17：30,日、年末年始（12/31～1/1）,無料,http://www.suzuki-ningyo.com/
雛の廣榮　(株)矢作人形店,さいたま市,岩槻区西町4-3-5,自社で日本人形を企画製造する会社です。伝統の工法を踏まえながらも新たな工法を作りだし、伝統と現代の技の融合に挑戦しています。工房で職人がひとつひとつの細かな工程をこなしている姿は江戸時代にタイムスリップしたようです。店舗は岩槻駅の近くにあり昔の商家の面影を残した建物です。工房では広く見学を受け入れていて、職人の匠の技が見学できます。,048-758-0017,＜受入時間＞問い合わせ,土、日、祝、年末年始,無料,http://www.tougyoku.com
(株)公司人形,さいたま市,岩槻区愛宕町10-3,伝統的な人形作りと現代風創作人形を手がけ、雛人形、五月人形、市松人形を製作しています。なかでも市松人形は全国有数の出荷量を誇っています。思い出の服などをリニューアルして人形仕立てにすることも行っています。工房の一角に「工房天祥（てんしょう）」という直販店舗もあります。,048-757-3131,＜受入時間＞問い合わせ（店舗は10：00～16：00）,土、日、祝、年末年始（店舗は1月～4月無休）,無料,http://www.koujiningyo.co.jp
(株)シューゼット,さいたま市,見沼区深作3-12-16,人工衛星モデルの地上実験試作機製作で国内トップクラスの実績を持つ会社です。航空業界では広く名を知られ、探査機「はやぶさ」をはじめ数多くの試作機製作に携わってきました。現在は空港の管制塔アンテナやブーツ収納器具などの開発を行っています。日本の航空技術を支えた町工場で、図面のアイデアが形になるまでが見学できます。,048-442-1215,＜受入時間＞13：00～15：00,土、日,無料,http://www8.ocn.ne.jp/~ishida/
(株)昌国,川口市,朝日1-5-26,海外にも顧客を持つ盆栽道具製造販売元。「道楽で集めたものを一般公開しよう」と個人所有の刃物３４５５点を展示。映画の小道具製作者が研究に来るほど、時代ものが充実。宮本武蔵と戦った穴戸梅軒（ししどばいけん）が使用したとされる鎖鎌の復元品、武田家の馬のタテガミのはさみ、安土桃山時代の釘、大戦中に使用された日本陸軍将校の軍刀など。映画「忍ＳＨＩＮＯＢＩ」の手裏剣も手がけ保存されています。,048-222-2641,＜受入時間＞9：00～16：00「昌国利器工匠具博物館」開館時間,土、日、祝（予約に応じ開館対応可）,無料,＊＊＊
(株)日三鋳造所,川口市,弥平1-11-5,国内のベーゴマは全てここ出身という貴重なベーゴマ製造工場。「ご自由にご覧ください」ののぼりが立つベーゴマ資料館では、様々なベーゴマやレトロな展示物が見学可。中には戦時中の金属供出を庭に埋めて逃れたというエピソードを持つ展示品もあります。年に１、２回ベーゴマを作る企画もあります。,048-222-4430,＜受入時間＞9：00～16：30,土、日、祝,無料,http://www.beigoma.com/
小原歯車工業(株),川口市,仲町13-17,業界でも珍しい４５００種の歯車を常備・加工する「歯車工房」を持つ工場。一般的な図面からのオーダー品に加え、既製品のオーダー加工にも対応しています。製造現場では大型機械での加工や、テーブルのように大きな歯車が見られます。標準品歯車の梱包はお菓子のパッケージのようなかわいらしさ。歯車雑学レクチャー、環境配慮システムの見学、ラジコンでのロボット操作もでき、ロボットの展示もあります。,048-255-7713,＜受入時間＞9：00～14：00,土、日、祝、8月12～16日、年末年始,無料,http://www.khkgears.co.jp/
(株)かねよし,川口市,中青木5-3-17,「川口の工業を盛り上げたい」という３代目若社長が経営する鋼材加工会社です。「元気な昭和」を感じさせる建物と近代的な工場があります。巨大ＵＦＯキャッチャーのような室内クレーンは、加工素材のスケールの大きさを物語っています。川口・鳩ヶ谷・戸田・蕨の企業を中心に取引する地域密着企業です。工場では、鉄板などの加工の様子を見学できます。,048-253-0001,＜受入時間＞8：00～17：00,土、日、祝,無料,http://www.kaneyoshidesu.co.jp/
永井機械鋳造(株),川口市,中青木3-6-22,迫力ある溶鉄の流し込みが見所の鋳物工場。電気炉は１５１０℃にもなるため、３ｍ以上離れていても熱気を感じます。鉄クズを溶かし、砂を固めた型に流し込み、冷え固まったものを磨いて鉄製品とする工程が見学できます。溶けた鉄を流し込む時にはたくさんの火花が飛び散ります。型に使われる砂を再利用した世界初の消臭剤開発に成功し、循環型社会への取り組みでも注目されています。,048-251-5260,＜受入時間＞10：00～16：00（なるべく午後）,土、日、祝,無料,http://www.ngi-c.co.jp
いしいぷらんと,川口市,木曽呂341,世界中にいい木を探しに行き、真っ赤に紅葉する木や、２０年経っても１ｍのままでメンテナンスフリーの木など珍しいものを集めて来ます。近辺では見たことのないような珍品珍種の樹木が多く、業界の人を驚かせています。造園用の畑はなんと３５カ所。見学では植物の手入れの仕方を聞くのもおすすめ。「自分も植物も生きていて、緑で潤っている事を知って欲しい」という熱い思いで多くの人を受け入れています。,048-296-0551,＜受入時間＞9：00～17：00,土、日、祝,無料,http://www.ishiiplants.com
陶芸安行焼,川口市,安行小山406,手作りの窯や建物、釣り堀もある窯元です。色付けの釉薬（ゆうやく）を塗らない自然な色味の作品が特徴です。県内最大級の薪窯は窯元の自作。煙の出ない構造で、稼働時は昼夜２週間焼き続けます。釣り堀は家族総出で掘ったもの。建物もトイレも手作りのため独特の風合いがあります。土２０種、釉薬５０種を完備した陶芸教室も開講しています。,048-296-3553,＜受入時間＞9：00～17：00,木,無料,http://anngyou.m.web.fc2.com/
サトー鋼材(株),川口市,安行吉岡1465,「鉄鋼販売」を中心に加工も手がける企業です。恐竜模型は市内のデジタルＳＫＩＰシティの展示会でも話題を呼びました。現在も大・中・小の３組の模型が社屋内に潜んでいます。多様な加工機を揃えており、鉄材をギロチンのように切断するものから最先端のレーザー加工機まで見学できます。社員自作の似顔絵つきホームページからも独創的な社風が伺えます。,048-285-5541,＜受入時間＞13：00～17：30（土は不可）,日、祝、年末年始等,無料,http://www.satokouzai.com
埼京オフセット(株),戸田市,上戸田1-22-6,「東京新聞」やフリーペーパーを印刷する工場です。関東一円に配布される朝刊や夕刊を輪転機８台で印刷しています。他の新聞社系列印刷会社の見学者からは、「世界一きれいな工場だ」と驚きの声が上がるほど清潔な工場です。見学では輪転機から高速で印刷される様子が見られ、新聞が出来るまでの仕組みをわかりやすく説明してもらうことができます。,048-447-5151,＜受入時間＞11：30～14：00（土・日は不可）,年中無休,無料,＊＊＊
(株)協和テック,戸田市,美女木5-21-6,教科書やトレカ、ＣＤの歌詞カードにラミネート加工を施す印刷加工会社です。リサイクル可能なラミコート加工の元祖であり、ラミコートＬＣやウェッブ式ラミコートと様々な特許技術を所持しています。加工後の製品は美しい光沢を放ち、高付加価値商品に生まれ変わります。小中学生を中心に見学を受け入れており、身の回りに溢れるラミ加工製品の製造工程を学ぶことができます。,048-449-1831,＜受入時間＞9：00～17：30,土、日、祝,無料,http://www.kyowa-tech.co.jp/
蕨戸田衛生センター組合,戸田市,美女木978,蕨市と戸田市の一般ごみから事業ごみまで処理する環境施設です。ごみを焼却した余熱で発電するなど環境にやさしい施設を目指しています。再生工房では回収した家具をよみがえらせ、入札方式で市民に提供したり、分別して集められた生ごみを堆肥にして育てた花を生ごみと交換するなど、リサイクル活動に力を入れています。環境の総合学習として見学を受け入れています。,048-421-2801（業務課）,＜受入時間＞9：00～12：00、13：00～15：00,土、日、祝,無料,http://www.warabitoda-e-c.or.jp/
(株)NPC,戸田市,美女木東1-4-1,イオン北戸田店の西向かいにある印刷・製本・加工の会社です。「こんな会社に印刷を頼みたい」と思ってもらえる工場を目指し、工場１階に印刷と検査、２階に製本の機器を揃えて生産しています。見学者からはずらりと並んだ印刷機を前に、まるで印刷機のショールームのようだと声が漏れるほど。印刷の工程順に案内があり、本が出来上がるまでを見学することができます。,048-449-6211,＜受入時間＞13：00～16：00,土、日、祝,無料,http://www.nisshin-prest.co.jp/index.html
熊沢印刷工芸(株),戸田市,美女木東2-1-6,ポスターやカタログにスクリーン印刷を施す会社です。スクリーン印刷は、紙やプラスチック、ガラスの他、多くの素材の表面に付加価値を与える印刷方式。温度の変化で色の変わる印刷物や香料入りのインキを使用して香りのする印刷物もつくることができます。見学では印刷作業の様子が見られるだけでなく、展示された印刷物へ触れて、五感を使ってスクリーン印刷を学べます。,048-421-0490,＜受入時間＞10：00～16：00,日、祝,無料,http://www.kumazawa-sp.co.jp/
サーマル化工(株),戸田市,早瀬1-18-3,水素による焼鈍処理を専門に行う全国でも珍しい会社です。金属をある一定の温度まで加熱し徐々に冷却することを焼鈍と言います。高水準の磁気特性を要求される電気機器や自動車のモーター制御の部品を水素で満たした炉で加熱処理しています。水素はとくに不純物の除去に適した気体です。見えにくいけれど大事な役目を持つ焼鈍の現場を見学することができます。,048-421-4880,＜受入時間＞10：00～15：00,土、日、祝,無料,http://www.sa-marukakou.com/
五光印刷(株),蕨市,錦町2-11-26,１０ミクロンのスクリーン印刷で、布地の風合いまで紙に再現する高精細技術が特色です。素人でも違いがわかり、ルーペで覗くと小さな写真の文字まで判読可能な鮮やかさ。工場では印刷濃度の測定や、色ズレがないか目と手を使ったチェックが随時行われています。最終チェックも複数で厳密に確認して出荷します。高精細印刷の比較や印刷工程を見学できます。,048-447-3444,＜受入時間＞9：00～17：00（要相談）,土、日、祝,無料,http://www.gocoh.co.jp
(株)ツジイインダストリー,川口市,南鳩ヶ谷6-12-12,アルミを中心とした材料で自動車部品から工芸品にいたるまでの各種鋳物製品を製造しています。自動車部品では３ＤのＣＡＤ図面から製作した「型」にアルミなどの高温溶解材を流し込み、「バリ取り」といって不要な部分を削除、研磨して仕上げていきます。最後に正確に仕上がっているかの形状確認を複数の手法で行います。工場では鋳物製造工程の見学のほか職場体験プログラムなども受け入れています。,048-282-1101,＜受入時間＞10：00～15：00,日（詳細は問い合わせ）,無料,http://www.cablenet.ne.jp/~tid
陶研,鴻巣市,箕田3820,鴻巣市の旧中山道沿いにある陶芸教室です。一度に２５人が陶芸体験できる広い教室があり、豊富に揃えられた粘土や色付けの釉薬を使って製作できます。体験コースでも焼いた後の色塗りまで行うことができます。陶芸製作に興味のある社会人の方向けに、水曜午後８時３０分までの夜間に開催される教室もあります。,048-596-5331,＜受入時間＞10：00～16：00（月火木金）、～20：30（水）、～18：00（土）,日,体験コースは3800円～,http://www.toukenn.com/
(株)ヒガシ,鴻巣市,東1-4-8,ものづくりの基盤を支えるＮＣ工作機械を製作する会社です。汎用工作機械から顧客の高い要望に応えたカスタムメイド工作機械まで製作しています。この工場では設計～加工～電装～組立～試加工（テスト）の工程すべてを一貫して行っています。高い技術力はすべての工作機械に生かされていて、メンテナンスも行っています。工場ではそれらの全工程が見られるように見学者を受け入れています。,048-541-3060,＜受入時間＞10：00～15：00,土、日、年末年始,無料,http://www.higashi-co.com/
(株)フラワーコミュニティ放送,鴻巣市,東1-1-25,平成１０年に開局したコミュニティＦＭ放送局。「元気でやさしいフラワーラジオ」をコンセプトに鴻巣市を中心に近隣エリアをカバーし、２４時間地域情報を提供しています。またインターネットラジオやテレビ番組制作なども行っています。見学は一般の方から児童まで広く受け入れていて、スタジオ見学やＤＪ体験ができます。入口では局のキャラクター「うめサブロー」が迎えてくれます。,048-543-7767,＜受入時間＞10：00～18：00,無,無料,http://www.fm767.com
(株)アサヒコミュニケーションズ,鴻巣市,本町4-3-23,明治４３年（１９１０）創業の印刷会社です。創業１００年を迎える会社が掲げるキーワードは「傳（でん）」。一方的な伝達ではなく、「伝える」「伝わる」情報を共有したコミュニケーションを顧客とともに創り出すことを目指しています。「デンリュウサイタマ」というＷｅｂサイトを立ち上げ、埼玉県の情報発信基地になっています。工場見学は児童を中心に受け入れていて、「本が出来るまで」が学べます。,048-541-5152,＜受入時間＞10：00～16：00,日、年末年始,無料,http://www.asahi-com.net/
(有)大一米菓「本手焼おおとり」,鴻巣市,人形2-1-63,鴻巣市人形町にあるせんべいを作り続けて８０年以上のお店です。鴻巣市と吉見町の間を流れる荒川の川幅が日本一であることを記念してつくった「川幅せんべい」が話題になっています。機械が発達した現代でも職人の手作りにこだわり、一枚一枚を丁寧に焼き上げる様子を見ることができます。焼きたてのせんべいの試食サービスもあります。,048-541-0373,＜受入時間＞10：00～16：00,日、祝,無料,＊＊＊
(株)マル武人形,鴻巣市,人形2-1-8,ひな人形、五月人形などの製造・販売を行っている人形工房です。埼玉県伝統工芸士たちが裂地（きじ）選びから衣裳作り、着せ付け、振り付け、頭（かしら）差しの作業を行っています。人形の細部にこだわって衣裳の裏に国指定重要無形文化財の和紙を使った「極上仕上雛」を製作しています。工房見学は、主に小中学生を対象にしていますが、一般の方の見学も受け入れています。,048-541-3517,＜受入時間＞問い合わせ,日（店舗は11/1～5/5無休）、年末年始,無料,http://www.marutakeningyou.co.jp
(株)広田屋人形,鴻巣市,人形1-16-18,ひな人形、五月人形を製作する工房です。２５０坪の店舗フロアにはゆったり見学できるように人形が展示されています。店舗の奥が人形製作工房になっています。頭（かしら）づくり～手足づくり～衣裳かけ～小道具～組立の工程に多くの職人が携わっています。見学はもちろん人形づくり教室、展覧会などもあり、一般の方から児童まで幅広く受け入れています。,048-541-8888,＜受入時間＞初心者向人形教室（60名）（7月の毎土曜13：00～16：30 有料）工場見学：10月～11月平日の10：00～16：00 無料,月（11/1～5/5無休）,＊＊＊,http://www.hirotaya.com
マルキユー(株),桶川市,赤堀2-4,かつて製糸工場でカイコのさなぎを加工する会社でしたが、現在は釣りエサをつくるようになった会社です。「釣れるエサづくり」をモットーに海、川、湖沼など様々なシーンに合うよう各種の釣りエサを製造しています。楽しく安心して魚釣りできるように自然循環サイクルを利用するエサで環境への配慮をしています。釣りエサができるまでがわかる工場見学は児童を中心に受け入れています。,048-728-0909,＜受入時間＞10：00～16：00,土、日、祝,無料,http://www.marukyu.com/
(有)旭信,桶川市,坂田東1-36-2,天然の竹と本漆を用いる江戸和竿製作の伝統を継ぐ工房。黄綬褒章を受けた３代目の技術を継いだ４代目が作る竿は、顧客の高い要望を満たすため受注製作が中心です。青貝を竿の曲面に埋め込んだ独自技法の塗り竿は釣り竿と言うより伝統芸術作品の雰囲気を感じさせます。工房では一般の方の見学を受け入れています。,048-728-0219,＜受入時間＞10：00～16：00,日、祝,無料,http://www.geocities.jp/kyokusin_rod/
三国コカ・コーラボトリング(株),桶川市,加納180,誕生から１００年以上世界中で愛されているコカ・コーラを製造・販売している会社です。三国コカ・コーラボトリングは埼玉・群馬・新潟を主な販売エリアとしています。見学コースとなるコカ・コーライーストジャパンプロダクツ岩槻工場では、１分間で９００本のＰＥＴボトルにコカ・コーラを詰める機械（ボトル・フィラー）の様子が見られます。,048-774-1103,＜受入時間＞10：30～、13：30～＜受入日＞火、水、木,＊＊＊,無料,http://www.mikuni-ccbc.co.jp/
(株)高須賀製作所,上尾市,領家1136-7,上尾領家工業団地にある板金加工工場で、レーザー切断、溶接などを得意としています。ＣＡＤデータ作成の段階から組み立て後の検査まで一貫して行える生産体制を持っています。生産を担う技術者全員が社訓として掲げられた１０の行動指針を守り、高品質・低価格・短納期を実現しています。輸送用機械器具などを主に製造している現場を２階から全体を眺め、１階で間近に見学することができます。,048-726-1400,＜受入時間＞10：00～15：00,土、日、祝,無料,http://www.takasuka-ss.co.jp/
(資)桔梗屋箪笥店,川越市,新富町1-6-4,国内至上の嫁入り箪笥を手がけた職人のいる桐箪笥店。江戸時代とほぼ同じ方法で、１棹を１０日ほどかけて製作。釘を使わず板を組み、湿度調整を促す「ヤシャブシ」を煮詰めた塗料を使用。削り直して新品同様に甦る、百年単位で使える箪笥です。ショールームでは美智子さまの箪笥を再現したものが見学でき、工場では箪笥の組立などが見学できます。朗らかな社長が軽妙な語りで案内します。,049-225-3383,＜受入時間＞11：00～15：00,ショールームは水、工場は土、日、祝,無料,http://www3.ocn.ne.jp/~kikyoya
彩の国　醤遊王国　弓削多醤油(株),坂戸市,多和目475,五感で醤油醸造を学べる蔵元です。１時間ごとのアナウンスで希望者を集め、製造見学ツアーを実施。カフェ併設の仕込蔵展望室には、ライトアップでもろみの詳細と木桶を照らしあわせて見学できる仕掛や、蔵の空気を感じられる空気筒などが設置されています。「プチプチ」というもろみの発酵音も聞く事ができます。名物「醤油ソフト」や、自分で搾った生醤油を使う「たまごかけごはん」が好評です。,042-985-8011,＜受入時間＞10：00～17：00,年末年始、1月1日～5日,無料、醤油搾り体験有料（1升1600円～、150ml420円～）,http://www.yugeta.com
(株)東立製作所　日高工場,日高市,大字旭ヶ丘字竹の台690-1,プラスチック（樹脂）の成形・加工を手がける会社。樹脂の加工はとても難しく、運搬時間や天候すらも伸びの原因になります。「生き物のような」樹脂を相手にするため工場内の空調管理は厳しくなっています。手加工による微調整をする汎用部隊は、経験と技能がものをいうベテランの担当。規格商品を扱う自動機部隊では若手の担当が多いそうです。職人たちによる難しいプラスチック加工の様子が見学できます。,042-989-5255,＜受入時間＞10：00～12：00、13：00～15：00,日、祝、他会社カレンダーによる,無料,http:/www.touritsu.co.jp/
長澤酒造(株),日高市,北平沢335,荘厳なケヤキが印象的な、年間１万人以上が訪れる蔵元。仕込みは１１月～３月中頃で、米を蒸すなど酒造りらしい現場を見られることも。稼動期以外でも実際に使う巨大釜やセイロが見学可。隣は昔の帳場を再現したミニ資料館。季節限定で代々受け継ぐお雛様の展示あり。３月第１週、６月第３週、１２月第１週の土日は、蔵見学会や甘酒サービスなどを実施。地酒スイーツも豊富で、地元牧場とコラボした甘酒アイスが人気。,042-989-0007,＜受入時間＞10：00～18：00,年中無休,無料,＊＊＊
(株)山岸屋木工所,飯能市,緑町１１?１,エコな視点でいち早く端材活用を見出した木製建具会社です。丸太から出る大きな余り材の処分に着目し、現社長が利用用途を模索。良質な端材を使った「框（かまち）風扉の加工」が実用新案に登録され、西川材の活躍の場を広げました。工場では扉をメインに、木材加工の乾燥や糊付け、プレス加工などが見学できます。行灯（あんどん）や表札など小物の直売もあり。本立てなどの組立キットの提供もしています。,042-974-2717,＜受入時間＞7月下旬の9：00～17：00,日、祝（土は不定休）,無料,＊＊＊
